Order ID,Order Date,Ship Date,Ship Mode,Customer Segment,Region,State,Category,Sub-Category,Quantity,Discount,Sales,Profit
ORD-10023,2025-11-20,2025-11-23,Standard Class,Consumer,East,Jharkhand,Clothing,Accessories,12,0.15,23490.67,2434.74
ORD-10024,2025-08-24,2025-08-30,Second Class,Consumer,North,Delhi,Office Supplies,Envelopes,2,0.2,1354.92,463.24
ORD-10025,2024-04-05,2024-04-12,Standard Class,Consumer,North,Haryana,Furniture,Tables,14,0.0,82796.59,9619.22
ORD-10026,2024-09-21,2024-09-28,First Class,Corporate,South,Telangana,Clothing,Accessories,12,0.05,26469.42,6302.2
ORD-10027,2024-08-10,2024-08-12,Standard Class,Consumer,South,Karnataka,Clothing,Women's Wear,5,0.1,15298.59,2394.58
ORD-10028,2025-02-25,2025-02-28,Standard Class,Corporate,East,Odisha,Electronics,Tablets,8,0.3,104828.49,18451.22
ORD-10029,2025-10-14,2025-10-16,Standard Class,Consumer,East,Bihar,Furniture,Chairs,12,0.1,164246.58,10306.66
ORD-10030,2024-05-28,2024-06-03,Same Day,Corporate,North,Punjab,Electronics,Tablets,5,0.05,212346.48,29477.85
ORD-10031,2024-12-23,2024-12-27,Standard Class,Corporate,South,Andhra Pradesh,Clothing,Accessories,8,0.05,13557.15,4020.41
ORD-10032,2025-07-11,2025-07-14,Standard Class,Corporate,South,Andhra Pradesh,Office Supplies,Envelopes,13,0.0,9338.38,1318.66
ORD-10033,2025-11-19,2025-11-24,Same Day,Corporate,East,Bihar,Office Supplies,Binders,1,0.15,309.76,108.16
ORD-10034,2024-01-01,2024-01-04,First Class,Corporate,West,Maharashtra,Electronics,Smartphones,13,0.05,351472.78,-5599.92
ORD-10035,2025-02-04,2025-02-11,Same Day,Consumer,North,Rajasthan,Electronics,Headphones,7,0.0,243010.35,-11090.17
ORD-10036,2025-06-25,2025-07-02,Second Class,Consumer,South,Tamil Nadu,Office Supplies,Labels,10,0.05,2081.78,718.23
ORD-10037,2025-01-08,2025-01-12,Standard Class,Consumer,South,Kerala,Office Supplies,Pens,8,0.3,5910.61,1805.38
ORD-10038,2024-02-15,2024-02-17,First Class,Consumer,North,Rajasthan,Furniture,Tables,1,0.1,12845.07,2276.71
ORD-10039,2025-09-30,2025-10-06,Standard Class,Corporate,West,Maharashtra,Clothing,Footwear,14,0.0,37686.7,6705.19
ORD-10040,2025-09-22,2025-09-27,Standard Class,Consumer,North,Haryana,Furniture,Storage,12,0.0,89501.57,11352.97
ORD-10041,2025-08-17,2025-08-19,Standard Class,Consumer,North,Punjab,Office Supplies,Binders,9,0.05,6401.29,652.19
ORD-10042,2024-08-30,2024-09-06,Second Class,Corporate,East,Odisha,Electronics,Smartphones,8,0.2,206543.24,-9998.76
ORD-10043,2025-10-06,2025-10-12,Standard Class,Consumer,North,Punjab,Electronics,Cameras,10,0.0,165945.28,22101.59
ORD-10044,2025-10-11,2025-10-15,First Class,Home Office,South,Karnataka,Furniture,Chairs,2,0.15,28020.55,2938.9
ORD-10045,2024-05-16,2024-05-18,Standard Class,Consumer,East,Odisha,Clothing,Footwear,12,0.15,4629.81,1186.54
ORD-10046,2024-03-29,2024-03-31,Standard Class,Corporate,North,Uttar Pradesh,Furniture,Tables,8,0.05,111757.81,13852.1
ORD-10047,2025-01-25,2025-01-28,Standard Class,Corporate,South,Kerala,Furniture,Bookcases,8,0.1,33008.54,6588.0
ORD-10048,2024-04-27,2024-05-03,Second Class,Corporate,South,Karnataka,Office Supplies,Pens,13,0.15,2172.56,609.54
ORD-10049,2024-01-11,2024-01-17,Second Class,Corporate,North,Haryana,Office Supplies,Labels,10,0.1,4834.23,605.24
ORD-10050,2024-05-06,2024-05-08,Standard Class,Corporate,South,Andhra Pradesh,Office Supplies,Envelopes,1,0.2,430.2,55.2
ORD-10051,2025-10-22,2025-10-29,Same Day,Consumer,East,Bihar,Furniture,Bookcases,9,0.0,47729.04,8373.26
ORD-10052,2024-06-30,2024-07-01,Second Class,Consumer,North,Haryana,Furniture,Bookcases,7,0.0,14887.35,867.67
ORD-10053,2024-11-22,2024-11-23,Second Class,Consumer,East,Bihar,Clothing,Men's Wear,13,0.05,17512.77,3447.62
ORD-10054,2025-11-08,2025-11-11,Second Class,Corporate,North,Uttar Pradesh,Furniture,Tables,4,0.0,69772.14,6528.73
ORD-10055,2024-11-23,2024-11-29,Second Class,Consumer,South,Kerala,Electronics,Headphones,9,0.0,329368.28,7559.55
ORD-10056,2024-05-30,2024-06-04,First Class,Consumer,South,Karnataka,Electronics,Smartphones,3,0.2,19575.91,2690.29
ORD-10057,2025-05-14,2025-05-16,Standard Class,Corporate,South,Tamil Nadu,Furniture,Storage,6,0.05,20596.39,2209.17
ORD-10058,2025-03-17,2025-03-22,Standard Class,Corporate,South,Kerala,Furniture,Tables,13,0.15,156234.86,5013.82
ORD-10059,2024-06-16,2024-06-18,Standard Class,Consumer,South,Kerala,Clothing,Women's Wear,12,0.05,33994.14,9846.63
ORD-10060,2024-01-11,2024-01-15,First Class,Consumer,West,Maharashtra,Furniture,Storage,1,0.2,10233.99,1095.81
ORD-10061,2024-07-19,2024-07-21,Standard Class,Corporate,West,Goa,Office Supplies,Paper,2,0.1,1597.35,486.83
ORD-10062,2024-01-17,2024-01-19,Standard Class,Consumer,North,Haryana,Furniture,Bookcases,9,0.1,39892.17,5528.3
ORD-10063,2024-02-16,2024-02-18,Second Class,Corporate,South,Karnataka,Electronics,Laptops,7,0.0,314809.93,53299.56
ORD-10064,2025-09-06,2025-09-07,First Class,Corporate,South,Kerala,Furniture,Tables,14,0.1,72515.06,10910.47
ORD-10065,2025-03-01,2025-03-05,Standard Class,Consumer,South,Karnataka,Office Supplies,Envelopes,14,0.0,16644.5,1955.85
ORD-10066,2024-08-26,2024-08-27,Standard Class,Corporate,South,Andhra Pradesh,Office Supplies,Labels,10,0.0,6508.97,2038.64
ORD-10067,2024-12-09,2024-12-13,Standard Class,Corporate,East,Bihar,Furniture,Chairs,12,0.3,136607.54,17505.4
ORD-10068,2024-08-30,2024-09-04,Same Day,Home Office,North,Rajasthan,Office Supplies,Envelopes,14,0.15,3612.35,1236.42
ORD-10069,2024-03-02,2024-03-03,Standard Class,Consumer,South,Karnataka,Office Supplies,Paper,8,0.0,6131.02,1314.23
ORD-10070,2025-04-07,2025-04-08,Same Day,Home Office,South,Karnataka,Clothing,Men's Wear,5,0.1,1423.18,110.11
ORD-10071,2024-04-24,2024-04-26,First Class,Corporate,South,Telangana,Furniture,Chairs,3,0.15,35810.41,4960.51
ORD-10072,2025-02-25,2025-03-01,First Class,Corporate,West,Gujarat,Electronics,Headphones,7,0.0,280201.32,54915.0
ORD-10073,2024-04-22,2024-04-23,Standard Class,Consumer,South,Karnataka,Electronics,Headphones,1,0.0,7865.44,275.31
ORD-10074,2025-04-28,2025-04-30,Second Class,Home Office,West,Gujarat,Clothing,Accessories,4,0.0,8651.78,2538.19
ORD-10075,2024-02-02,2024-02-08,First Class,Consumer,South,Telangana,Furniture,Chairs,3,0.2,3645.71,633.47
ORD-10076,2025-01-16,2025-01-20,Standard Class,Consumer,West,Gujarat,Electronics,Headphones,8,0.05,160801.27,5188.18
ORD-10077,2024-09-27,2024-10-01,Same Day,Consumer,South,Tamil Nadu,Office Supplies,Paper,11,0.15,9807.37,2516.13
ORD-10078,2024-08-23,2024-08-27,Second Class,Consumer,North,Delhi,Electronics,Smartphones,4,0.0,105813.33,13446.67
ORD-10079,2024-04-11,2024-04-12,Same Day,Corporate,North,Haryana,Office Supplies,Binders,8,0.1,1568.23,239.29
ORD-10080,2025-08-11,2025-08-15,Standard Class,Corporate,South,Tamil Nadu,Electronics,Tablets,10,0.15,167201.61,1679.55
ORD-10081,2025-01-04,2025-01-08,Standard Class,Consumer,East,Bihar,Office Supplies,Binders,8,0.05,7227.11,1802.22
ORD-10082,2024-03-27,2024-03-31,Second Class,Consumer,South,Kerala,Office Supplies,Labels,13,0.1,5011.93,555.9
ORD-10083,2025-12-14,2025-12-17,First Class,Corporate,South,Tamil Nadu,Furniture,Storage,3,0.0,27721.19,2629.72
ORD-10084,2025-09-08,2025-09-12,Second Class,Corporate,North,Punjab,Clothing,Accessories,10,0.05,30231.34,3103.72
ORD-10085,2025-04-22,2025-04-29,Second Class,Consumer,West,Goa,Office Supplies,Labels,10,0.05,2452.17,518.21
ORD-10086,2024-03-06,2024-03-09,Second Class,Consumer,South,Kerala,Furniture,Storage,5,0.0,61928.17,11089.34
ORD-10087,2025-05-27,2025-05-28,Standard Class,Consumer,South,Telangana,Electronics,Headphones,6,0.05,57228.04,11631.66
ORD-10088,2024-01-20,2024-01-22,Standard Class,Corporate,South,Karnataka,Electronics,Tablets,13,0.0,388441.62,48711.05
ORD-10089,2024-07-02,2024-07-09,Second Class,Consumer,South,Telangana,Clothing,Footwear,11,0.0,4355.07,1273.76
ORD-10090,2024-07-11,2024-07-18,Standard Class,Corporate,North,Rajasthan,Clothing,Footwear,7,0.15,13548.81,3013.01
ORD-10091,2025-08-24,2025-08-30,First Class,Corporate,West,Maharashtra,Office Supplies,Binders,12,0.3,3492.96,601.39
ORD-10092,2025-01-31,2025-02-01,Standard Class,Consumer,East,Bihar,Office Supplies,Paper,7,0.0,1317.68,262.28
ORD-10093,2024-09-23,2024-09-26,Standard Class,Consumer,South,Tamil Nadu,Furniture,Tables,8,0.15,88131.89,9364.25
ORD-10094,2024-12-08,2024-12-14,Same Day,Consumer,North,Uttar Pradesh,Furniture,Bookcases,14,0.0,268480.64,48768.3
ORD-10095,2025-01-07,2025-01-11,Second Class,Consumer,North,Punjab,Electronics,Cameras,14,0.1,200417.85,33037.92
ORD-10096,2025-03-20,2025-03-22,Standard Class,Home Office,South,Telangana,Electronics,Smartphones,8,0.0,347543.43,48637.11
ORD-10097,2025-09-28,2025-09-30,Standard Class,Consumer,South,Karnataka,Electronics,Smartphones,8,0.1,254431.28,52248.04
ORD-10098,2025-11-03,2025-11-10,Standard Class,Home Office,South,Tamil Nadu,Office Supplies,Paper,5,0.05,3744.27,930.9
ORD-10099,2024-06-15,2024-06-16,Standard Class,Corporate,West,Goa,Furniture,Chairs,1,0.0,7810.17,1242.38
ORD-10100,2025-07-14,2025-07-18,Standard Class,Consumer,North,Delhi,Office Supplies,Envelopes,2,0.1,1415.15,303.15
ORD-10101,2024-09-20,2024-09-26,Same Day,Consumer,North,Haryana,Office Supplies,Labels,12,0.0,9362.45,2859.78
ORD-10102,2024-04-13,2024-04-19,Standard Class,Corporate,North,Rajasthan,Electronics,Headphones,5,0.0,169807.85,4604.2
ORD-10103,2025-07-31,2025-08-01,Second Class,Corporate,South,Andhra Pradesh,Furniture,Tables,5,0.0,29612.62,5247.37
ORD-10104,2025-11-08,2025-11-10,Standard Class,Corporate,North,Uttar Pradesh,Clothing,Women's Wear,13,0.15,31812.52,2970.69
ORD-10105,2024-09-09,2024-09-15,Standard Class,Consumer,East,Jharkhand,Clothing,Women's Wear,1,0.0,2747.39,389.81
ORD-10106,2024-05-07,2024-05-11,Standard Class,Corporate,South,Andhra Pradesh,Electronics,Cameras,13,0.0,550301.25,-24594.98
ORD-10107,2024-03-23,2024-03-24,Standard Class,Consumer,South,Kerala,Office Supplies,Binders,3,0.1,959.03,150.78
ORD-10108,2025-04-29,2025-05-03,First Class,Consumer,West,Gujarat,Furniture,Bookcases,14,0.0,112747.19,21815.23
ORD-10109,2024-03-05,2024-03-10,Standard Class,Consumer,North,Punjab,Electronics,Tablets,5,0.0,190203.71,11682.8
ORD-10110,2025-08-16,2025-08-19,Standard Class,Consumer,South,Karnataka,Furniture,Storage,9,0.0,156617.61,21701.65
ORD-10111,2024-10-10,2024-10-13,Standard Class,Corporate,East,Jharkhand,Clothing,Men's Wear,7,0.0,15852.11,2822.56
ORD-10112,2025-02-11,2025-02-14,Standard Class,Consumer,South,Kerala,Office Supplies,Pens,8,0.3,2776.11,821.62
ORD-10113,2024-12-02,2024-12-09,Same Day,Consumer,West,Gujarat,Electronics,Cameras,8,0.0,282458.98,37991.83
ORD-10114,2025-11-23,2025-11-30,Same Day,Consumer,West,Goa,Clothing,Women's Wear,12,0.0,26583.61,2417.01
ORD-10115,2024-05-01,2024-05-07,Standard Class,Consumer,West,Goa,Clothing,Accessories,7,0.0,16347.99,1555.49
ORD-10116,2025-04-10,2025-04-12,Standard Class,Corporate,West,Maharashtra,Clothing,Men's Wear,13,0.0,24217.2,5711.77
ORD-10117,2024-04-20,2024-04-22,Second Class,Corporate,South,Andhra Pradesh,Office Supplies,Envelopes,10,0.0,8854.31,1337.08
ORD-10118,2025-05-14,2025-05-18,Standard Class,Consumer,South,Tamil Nadu,Furniture,Chairs,6,0.1,92012.4,13075.72
ORD-10119,2025-06-19,2025-06-25,Standard Class,Home Office,South,Telangana,Office Supplies,Paper,3,0.0,156.49,30.82
ORD-10120,2025-06-19,2025-06-21,Standard Class,Corporate,West,Maharashtra,Office Supplies,Labels,14,0.0,13983.3,4142.19
ORD-10121,2024-07-01,2024-07-02,Second Class,Consumer,North,Uttar Pradesh,Electronics,Smartphones,2,0.1,33479.5,1333.59
ORD-10122,2025-08-24,2025-08-29,First Class,Consumer,East,Jharkhand,Furniture,Chairs,9,0.1,158950.06,23140.06
ORD-10123,2024-02-18,2024-02-23,Standard Class,Consumer,South,Telangana,Office Supplies,Envelopes,10,0.2,6206.77,631.58
ORD-10124,2025-12-25,2025-12-31,Standard Class,Corporate,North,Uttar Pradesh,Office Supplies,Labels,8,0.2,2246.15,651.05
ORD-10125,2025-03-16,2025-03-21,First Class,Corporate,North,Haryana,Electronics,Laptops,4,0.1,58456.66,6693.06
ORD-10126,2025-08-03,2025-08-06,First Class,Consumer,North,Rajasthan,Clothing,Women's Wear,7,0.1,21485.63,2284.55
ORD-10127,2024-12-19,2024-12-23,Standard Class,Consumer,North,Delhi,Clothing,Men's Wear,10,0.0,22612.81,4885.43
ORD-10128,2024-12-09,2024-12-16,Standard Class,Corporate,East,Bihar,Office Supplies,Labels,8,0.05,8928.26,2108.96
ORD-10129,2025-01-15,2025-01-16,First Class,Corporate,South,Andhra Pradesh,Clothing,Footwear,8,0.05,3865.78,295.22
ORD-10130,2025-05-18,2025-05-22,Second Class,Consumer,North,Haryana,Furniture,Bookcases,10,0.0,80984.13,4474.48
ORD-10131,2025-09-17,2025-09-20,Standard Class,Home Office,South,Kerala,Furniture,Bookcases,8,0.1,90468.6,6909.01
ORD-10132,2024-04-18,2024-04-25,First Class,Corporate,West,Goa,Clothing,Footwear,5,0.05,14830.3,2696.89
ORD-10133,2025-04-21,2025-04-22,Standard Class,Home Office,South,Telangana,Clothing,Accessories,4,0.2,11077.79,2822.77
ORD-10134,2025-11-05,2025-11-09,Standard Class,Corporate,South,Andhra Pradesh,Office Supplies,Binders,2,0.1,1640.07,357.24
ORD-10135,2024-06-04,2024-06-11,First Class,Consumer,West,Gujarat,Furniture,Storage,7,0.0,95359.07,16778.39
ORD-10136,2025-02-04,2025-02-11,Standard Class,Home Office,North,Uttar Pradesh,Clothing,Accessories,9,0.1,25944.5,4283.17
ORD-10137,2025-02-27,2025-03-05,Second Class,Corporate,North,Haryana,Furniture,Chairs,10,0.15,32792.14,5610.83
ORD-10138,2024-04-29,2024-05-05,Standard Class,Corporate,North,Haryana,Clothing,Women's Wear,5,0.05,1613.54,201.66
ORD-10139,2025-09-13,2025-09-19,Standard Class,Corporate,East,Jharkhand,Clothing,Men's Wear,9,0.0,26838.78,5188.94
ORD-10140,2024-07-19,2024-07-24,First Class,Corporate,South,Andhra Pradesh,Electronics,Tablets,9,0.05,265959.81,21044.93
ORD-10141,2025-05-19,2025-05-24,Second Class,Corporate,North,Rajasthan,Office Supplies,Labels,3,0.05,484.1,121.1
ORD-10142,2024-09-18,2024-09-20,Standard Class,Corporate,South,Tamil Nadu,Electronics,Tablets,11,0.05,92806.58,819.42
ORD-10143,2025-08-24,2025-08-31,Second Class,Home Office,South,Kerala,Office Supplies,Binders,5,0.0,2531.58,771.0
ORD-10144,2024-11-28,2024-12-05,Second Class,Home Office,South,Kerala,Electronics,Headphones,14,0.1,125225.92,3437.7
ORD-10145,2025-03-06,2025-03-13,Standard Class,Consumer,East,Odisha,Electronics,Tablets,1,0.05,26941.44,1635.77
ORD-10146,2024-07-20,2024-07-22,Standard Class,Consumer,North,Punjab,Office Supplies,Binders,3,0.1,2110.08,274.6
ORD-10147,2025-02-22,2025-02-25,Standard Class,Home Office,South,Tamil Nadu,Office Supplies,Labels,1,0.0,1096.65,128.14
ORD-10148,2024-01-30,2024-02-03,Second Class,Corporate,South,Tamil Nadu,Furniture,Tables,12,0.05,190548.88,23779.7
ORD-10149,2025-02-24,2025-02-25,Standard Class,Corporate,North,Uttar Pradesh,Furniture,Storage,1,0.0,7785.72,1265.25
ORD-10150,2025-09-16,2025-09-21,First Class,Consumer,West,Gujarat,Furniture,Storage,2,0.05,3817.92,97.63
ORD-10151,2025-07-02,2025-07-04,Standard Class,Consumer,North,Punjab,Clothing,Men's Wear,12,0.3,24741.89,3621.67
ORD-10152,2025-01-13,2025-01-20,Second Class,Consumer,South,Tamil Nadu,Office Supplies,Envelopes,3,0.05,2466.29,758.81
ORD-10153,2025-03-10,2025-03-15,Standard Class,Home Office,East,West Bengal,Office Supplies,Pens,1,0.05,403.46,126.34
ORD-10154,2025-07-12,2025-07-16,Standard Class,Home Office,North,Punjab,Office Supplies,Envelopes,6,0.0,1161.26,159.32
ORD-10155,2024-04-11,2024-04-14,Second Class,Corporate,East,Bihar,Furniture,Storage,1,0.05,9179.51,1661.5
ORD-10156,2024-04-25,2024-04-30,Same Day,Corporate,West,Goa,Electronics,Smartphones,1,0.0,29888.33,-1218.34
ORD-10157,2024-11-15,2024-11-21,Standard Class,Consumer,South,Kerala,Office Supplies,Paper,5,0.2,1482.3,399.04
ORD-10158,2024-05-20,2024-05-25,Standard Class,Consumer,West,Maharashtra,Office Supplies,Envelopes,12,0.0,12273.72,2477.89
ORD-10159,2024-02-14,2024-02-19,Standard Class,Consumer,South,Andhra Pradesh,Office Supplies,Paper,3,0.15,352.9,41.72
ORD-10160,2024-11-16,2024-11-17,Second Class,Corporate,South,Kerala,Electronics,Tablets,9,0.15,93402.72,593.37
ORD-10161,2024-02-22,2024-02-29,Standard Class,Consumer,North,Punjab,Electronics,Cameras,6,0.05,151951.37,-366.62
ORD-10162,2024-04-05,2024-04-11,First Class,Corporate,South,Tamil Nadu,Office Supplies,Paper,6,0.2,2817.66,864.12
ORD-10163,2024-03-23,2024-03-24,Second Class,Consumer,North,Punjab,Clothing,Men's Wear,6,0.05,14241.23,727.6
ORD-10164,2025-03-27,2025-04-03,Standard Class,Consumer,West,Maharashtra,Electronics,Headphones,9,0.0,139663.73,8102.61
ORD-10165,2024-01-13,2024-01-15,Standard Class,Consumer,North,Uttar Pradesh,Electronics,Smartphones,5,0.05,178274.89,38159.21
ORD-10166,2024-05-28,2024-06-01,Standard Class,Corporate,West,Gujarat,Office Supplies,Labels,8,0.1,1066.63,251.67
ORD-10167,2025-02-01,2025-02-03,First Class,Consumer,East,Odisha,Electronics,Cameras,3,0.0,71100.94,6344.23
ORD-10168,2025-11-23,2025-11-25,Second Class,Corporate,West,Gujarat,Clothing,Women's Wear,11,0.0,18629.87,3920.94
ORD-10169,2024-11-02,2024-11-03,Standard Class,Consumer,West,Maharashtra,Clothing,Footwear,11,0.0,10589.74,2126.66
ORD-10170,2025-10-06,2025-10-10,Same Day,Consumer,West,Gujarat,Clothing,Footwear,2,0.1,1720.69,221.6
ORD-10171,2025-05-05,2025-05-06,Standard Class,Consumer,North,Uttar Pradesh,Furniture,Storage,1,0.0,7740.79,1116.36
ORD-10172,2024-05-01,2024-05-06,Standard Class,Consumer,North,Haryana,Office Supplies,Envelopes,14,0.05,13007.54,1839.75
ORD-10173,2025-10-29,2025-11-02,Standard Class,Consumer,West,Goa,Office Supplies,Pens,6,0.2,2990.26,642.13
ORD-10174,2025-07-24,2025-07-29,First Class,Consumer,South,Andhra Pradesh,Office Supplies,Envelopes,2,0.05,2177.08,386.43
ORD-10175,2024-05-16,2024-05-21,Standard Class,Consumer,East,Odisha,Office Supplies,Labels,10,0.0,6847.89,1565.91
ORD-10176,2024-09-21,2024-09-27,Standard Class,Consumer,North,Uttar Pradesh,Office Supplies,Paper,8,0.05,4703.46,508.7
ORD-10177,2025-11-23,2025-11-26,First Class,Consumer,North,Rajasthan,Electronics,Cameras,2,0.0,61157.01,6225.01
ORD-10178,2025-10-12,2025-10-15,Standard Class,Consumer,South,Telangana,Furniture,Storage,5,0.15,66033.78,11929.69
ORD-10179,2024-04-21,2024-04-28,First Class,Corporate,South,Telangana,Electronics,Headphones,14,0.05,155572.55,11329.36
ORD-10180,2025-04-15,2025-04-20,Standard Class,Consumer,West,Goa,Office Supplies,Binders,8,0.05,3804.54,724.93
ORD-10181,2024-12-07,2024-12-14,Standard Class,Corporate,South,Andhra Pradesh,Electronics,Headphones,4,0.15,148265.54,11385.13
ORD-10182,2025-07-04,2025-07-10,Standard Class,Corporate,North,Haryana,Clothing,Accessories,5,0.15,6911.79,810.14
ORD-10183,2024-04-11,2024-04-12,First Class,Consumer,North,Uttar Pradesh,Office Supplies,Pens,1,0.0,1168.28,351.51
ORD-10184,2024-03-13,2024-03-18,First Class,Consumer,South,Karnataka,Office Supplies,Envelopes,6,0.1,5589.1,1252.32
ORD-10185,2025-02-22,2025-02-28,Standard Class,Consumer,West,Gujarat,Electronics,Headphones,10,0.05,274248.85,44389.36
ORD-10186,2025-07-08,2025-07-10,Same Day,Corporate,South,Kerala,Clothing,Accessories,9,0.1,25017.05,4826.7
ORD-10187,2024-05-05,2024-05-10,Second Class,Consumer,South,Andhra Pradesh,Electronics,Cameras,11,0.15,103223.65,13589.54
ORD-10188,2025-11-24,2025-12-01,Standard Class,Corporate,South,Andhra Pradesh,Clothing,Accessories,7,0.0,4370.75,292.3
ORD-10189,2024-03-22,2024-03-24,Second Class,Home Office,East,West Bengal,Clothing,Men's Wear,4,0.0,4582.74,981.57
ORD-10190,2025-07-06,2025-07-12,Standard Class,Corporate,South,Telangana,Clothing,Accessories,4,0.0,4622.75,1047.78
ORD-10191,2024-03-05,2024-03-08,Standard Class,Corporate,South,Andhra Pradesh,Electronics,Cameras,10,0.0,218615.59,39720.33
ORD-10192,2025-10-11,2025-10-15,Standard Class,Home Office,East,West Bengal,Furniture,Chairs,9,0.0,44892.01,4401.43
ORD-10193,2024-09-04,2024-09-08,Standard Class,Consumer,South,Telangana,Office Supplies,Pens,1,0.1,770.4,252.6
ORD-10194,2024-11-09,2024-11-10,Standard Class,Corporate,South,Karnataka,Electronics,Tablets,11,0.05,292409.13,28670.8
ORD-10195,2025-12-21,2025-12-22,Second Class,Consumer,East,Jharkhand,Electronics,Laptops,13,0.15,304392.74,45640.32
ORD-10196,2025-07-02,2025-07-09,Standard Class,Consumer,North,Uttar Pradesh,Office Supplies,Pens,12,0.0,11434.35,2485.61
ORD-10197,2025-09-05,2025-09-11,Standard Class,Consumer,West,Gujarat,Office Supplies,Binders,5,0.15,1119.85,142.9
ORD-10198,2024-02-21,2024-02-22,Second Class,Consumer,North,Delhi,Furniture,Bookcases,13,0.05,227302.81,43051.55
ORD-10199,2024-03-27,2024-03-28,Standard Class,Consumer,North,Delhi,Clothing,Women's Wear,12,0.0,27045.0,2904.62
ORD-10200,2024-01-18,2024-01-24,Standard Class,Consumer,South,Karnataka,Office Supplies,Labels,6,0.15,2684.29,659.09
ORD-10201,2025-02-15,2025-02-18,Standard Class,Corporate,South,Kerala,Furniture,Tables,13,0.05,190764.32,10808.72
ORD-10202,2024-10-21,2024-10-23,Second Class,Consumer,East,Jharkhand,Office Supplies,Envelopes,1,0.05,1026.02,305.95
ORD-10203,2025-10-29,2025-10-30,Standard Class,Consumer,North,Punjab,Electronics,Smartphones,8,0.0,276886.47,9871.73
ORD-10204,2025-01-18,2025-01-20,Same Day,Consumer,South,Tamil Nadu,Office Supplies,Pens,8,0.0,5384.2,1043.82
ORD-10205,2025-11-24,2025-11-30,Standard Class,Consumer,North,Rajasthan,Furniture,Bookcases,8,0.1,60027.28,1290.91
ORD-10206,2024-05-15,2024-05-16,Standard Class,Corporate,West,Maharashtra,Electronics,Smartphones,10,0.15,221147.55,-10086.88
ORD-10207,2025-07-29,2025-07-31,First Class,Corporate,North,Punjab,Clothing,Footwear,4,0.05,4871.96,469.38
ORD-10208,2025-12-30,2026-01-01,Standard Class,Consumer,East,Odisha,Office Supplies,Binders,2,0.0,1616.87,541.27
ORD-10209,2025-08-08,2025-08-15,Standard Class,Consumer,South,Karnataka,Electronics,Headphones,5,0.0,186137.34,29723.28
